number,value,state,params_DEPTH,params_ITERATIONS,params_L2_LEAF_REG,params_LEARNING_RATE,params_SUBSAMPLE,params_WAVEFORM_FEATURE_COUNT,user_attrs_artifact_root,user_attrs_config_params,user_attrs_metrics,user_attrs_model_dir
28,0.00330507165160468,COMPLETE,6,4500,1.0525279787747375,0.03569551929080651,0.6748845380498631,256,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0028,"{'ITERATIONS': 4500, 'LEARNING_RATE': 0.03569551929080651, 'DEPTH': 6, 'L2_LEAF_REG': 1.0525279787747375, 'SUBSAMPLE': 0.6748845380498631, 'WAVEFORM_FEATURE_COUNT': 256}","{'Samples': 3420, 'R2': 0.7853201374034602, 'MAE': 0.0006611786175741591, 'RMSE': 0.0012464415227101456, 'MAPE': 25.908592118696493, 'Bias': -0.00040446768492962846, 'SelectionScore': 0.00330507165160468}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0028\model-20260531-181258-99dfe0c9-train20260611-023650
29,0.003546357555777883,COMPLETE,4,4000,2.0281764818298336,0.016200618724446846,0.6740636545753955,64,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0029,"{'ITERATIONS': 4000, 'LEARNING_RATE': 0.016200618724446846, 'DEPTH': 4, 'L2_LEAF_REG': 2.0281764818298336, 'SUBSAMPLE': 0.6740636545753955, 'WAVEFORM_FEATURE_COUNT': 64}","{'Samples': 3420, 'R2': 0.7550026996379959, 'MAE': 0.0007107689737654654, 'RMSE': 0.001331548235209596, 'MAPE': 30.404355351156905, 'Bias': -0.00040817157943171466, 'SelectionScore': 0.003546357555777883}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0029\model-20260531-181258-99dfe0c9-train20260611-023736
30,0.003508748585778765,COMPLETE,4,4500,1.0984446924658349,0.051640586324430124,0.6180716987899418,64,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0030,"{'ITERATIONS': 4500, 'LEARNING_RATE': 0.051640586324430124, 'DEPTH': 4, 'L2_LEAF_REG': 1.0984446924658349, 'SUBSAMPLE': 0.6180716987899418, 'WAVEFORM_FEATURE_COUNT': 64}","{'Samples': 3420, 'R2': 0.7595803333234648, 'MAE': 0.000713076472037003, 'RMSE': 0.0013190499726450763, 'MAPE': 31.835291301501446, 'Bias': -0.00038578216516777517, 'SelectionScore': 0.003508748585778765}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0030\model-20260531-181258-99dfe0c9-train20260611-023750
31,0.0035470814385666293,COMPLETE,5,2000,2.2870573085476122,0.016979732377584537,0.7925945207419618,384,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0031,"{'ITERATIONS': 2000, 'LEARNING_RATE': 0.016979732377584537, 'DEPTH': 5, 'L2_LEAF_REG': 2.2870573085476122, 'SUBSAMPLE': 0.7925945207419618, 'WAVEFORM_FEATURE_COUNT': 384}","{'Samples': 3420, 'R2': 0.756875736067061, 'MAE': 0.0006971059263891519, 'RMSE': 0.0013264485392755784, 'MAPE': 28.81215427948317, 'Bias': -0.0004055652737818688, 'SelectionScore': 0.0035470814385666293}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0031\model-20260531-181258-99dfe0c9-train20260611-023805
32,0.0030962491132453195,COMPLETE,4,4500,1.02101400600744,0.03040842613443203,0.6225905009186758,256,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0032,"{'ITERATIONS': 4500, 'LEARNING_RATE': 0.03040842613443203, 'DEPTH': 4, 'L2_LEAF_REG': 1.02101400600744, 'SUBSAMPLE': 0.6225905009186758, 'WAVEFORM_FEATURE_COUNT': 256}","{'Samples': 3420, 'R2': 0.8095730943669996, 'MAE': 0.0006252733644491296, 'RMSE': 0.0011739251556442435, 'MAPE': 26.196156165096287, 'Bias': -0.00035656339700184276, 'SelectionScore': 0.0030962491132453195}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0032\model-20260531-181258-99dfe0c9-train20260611-023827
33,0.003180382742352215,COMPLETE,4,5750,1.344523677955099,0.013857922339327205,0.6787051649213125,256,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0033,"{'ITERATIONS': 5750, 'LEARNING_RATE': 0.013857922339327205, 'DEPTH': 4, 'L2_LEAF_REG': 1.344523677955099, 'SUBSAMPLE': 0.6787051649213125, 'WAVEFORM_FEATURE_COUNT': 256}","{'Samples': 3420, 'R2': 0.8017527615771207, 'MAE': 0.0006343489790814022, 'RMSE': 0.0011977876394055167, 'MAPE': 26.648118774131564, 'Bias': -0.00036043980709317175, 'SelectionScore': 0.003180382742352215}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0033\model-20260531-181258-99dfe0c9-train20260611-023852
34,0.003280468320831692,COMPLETE,4,5000,1.5848921122481834,0.010401001592483744,0.7902732729471582,256,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0034,"{'ITERATIONS': 5000, 'LEARNING_RATE': 0.010401001592483744, 'DEPTH': 4, 'L2_LEAF_REG': 1.5848921122481834, 'SUBSAMPLE': 0.7902732729471582, 'WAVEFORM_FEATURE_COUNT': 256}","{'Samples': 3420, 'R2': 0.7893379812662725, 'MAE': 0.0006534153529572538, 'RMSE': 0.0012347225354523992, 'MAPE': 27.052671838186054, 'Bias': -0.0003924391318593591, 'SelectionScore': 0.003280468320831692}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0034\model-20260531-181258-99dfe0c9-train20260611-023924
35,0.0031973306750370436,COMPLETE,4,5250,1.0200121175763306,0.014960316431399388,0.6885997880683068,256,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0035,"{'ITERATIONS': 5250, 'LEARNING_RATE': 0.014960316431399388, 'DEPTH': 4, 'L2_LEAF_REG': 1.0200121175763306, 'SUBSAMPLE': 0.6885997880683068, 'WAVEFORM_FEATURE_COUNT': 256}","{'Samples': 3420, 'R2': 0.7995747272852547, 'MAE': 0.0006394873929108484, 'RMSE': 0.0012043493858367553, 'MAPE': 27.031091940733518, 'Bias': -0.00037141790055304427, 'SelectionScore': 0.0031973306750370436}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0035\model-20260531-181258-99dfe0c9-train20260611-023953
36,0.003376195792942199,COMPLETE,4,5500,1.1941321382246393,0.019461337029446052,0.6916633480738212,384,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0036,"{'ITERATIONS': 5500, 'LEARNING_RATE': 0.019461337029446052, 'DEPTH': 4, 'L2_LEAF_REG': 1.1941321382246393, 'SUBSAMPLE': 0.6916633480738212, 'WAVEFORM_FEATURE_COUNT': 384}","{'Samples': 3420, 'R2': 0.7791493672826484, 'MAE': 0.0006701397942540007, 'RMSE': 0.0012642285035811718, 'MAPE': 28.489403260003666, 'Bias': -0.0003654109450147918, 'SelectionScore': 0.003376195792942199}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0036\model-20260531-181258-99dfe0c9-train20260611-024023
37,0.0033711863360515485,COMPLETE,6,5500,4.289098901607941,0.006316197938720379,0.9976544664717388,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0037,"{'ITERATIONS': 5500, 'LEARNING_RATE': 0.006316197938720379, 'DEPTH': 6, 'L2_LEAF_REG': 4.289098901607941, 'SUBSAMPLE': 0.9976544664717388, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.7800813070255728, 'MAE': 0.0006464535207813146, 'RMSE': 0.001261558304451946, 'MAPE': 25.404273212116877, 'Bias': -0.0003792989359228999, 'SelectionScore': 0.0033711863360515485}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0037\model-20260531-181258-99dfe0c9-train20260611-024101
