number,value,state,params_MAX_DEPTH,params_MAX_FEATURES,params_MIN_SAMPLES_LEAF,params_MIN_SAMPLES_SPLIT,params_N_ESTIMATORS,params_WAVEFORM_FEATURE_COUNT,user_attrs_artifact_root,user_attrs_config_params,user_attrs_metrics,user_attrs_model_dir
28,0.003922569090910371,COMPLETE,20.0,sqrt,6,7,800,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0028,"{'N_ESTIMATORS': 800, 'MAX_DEPTH': 20, 'MIN_SAMPLES_LEAF': 6, 'MIN_SAMPLES_SPLIT': 7, 'MAX_FEATURES': 'sqrt', 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.7022022164357642, 'MAE': 0.0008085367341063085, 'RMSE': 0.0014680369421365333, 'MAPE': 39.82690828690762, 'Bias': -0.0002807683401501279, 'SelectionScore': 0.003922569090910371}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0028\model-20260531-181258-99dfe0c9-train20260611-012647
29,0.0032919161562639443,COMPLETE,20.0,0.5,5,8,1100,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0029,"{'N_ESTIMATORS': 1100, 'MAX_DEPTH': 20, 'MIN_SAMPLES_LEAF': 5, 'MIN_SAMPLES_SPLIT': 8, 'MAX_FEATURES': 0.5, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.7914398298525003, 'MAE': 0.0006651128631964059, 'RMSE': 0.001228547464998183, 'MAPE': 28.565138170845366, 'Bias': -0.0002899887867461501, 'SelectionScore': 0.0032919161562639443}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0029\model-20260531-181258-99dfe0c9-train20260611-012700
30,0.0035238888659778872,COMPLETE,12.0,0.5,5,13,1000,64,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0030,"{'N_ESTIMATORS': 1000, 'MAX_DEPTH': 12, 'MIN_SAMPLES_LEAF': 5, 'MIN_SAMPLES_SPLIT': 13, 'MAX_FEATURES': 0.5, 'WAVEFORM_FEATURE_COUNT': 64}","{'Samples': 3420, 'R2': 0.7579673446720614, 'MAE': 0.0007526731640386411, 'RMSE': 0.0013234673649896247, 'MAPE': 32.20115560251545, 'Bias': -0.0003413222514178702, 'SelectionScore': 0.0035238888659778872}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0030\model-20260531-181258-99dfe0c9-train20260611-012840
31,0.0033110483993276122,COMPLETE,20.0,0.5,6,11,1200,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0031,"{'N_ESTIMATORS': 1200, 'MAX_DEPTH': 20, 'MIN_SAMPLES_LEAF': 6, 'MIN_SAMPLES_SPLIT': 11, 'MAX_FEATURES': 0.5, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.7889625211601589, 'MAE': 0.0006667103772731573, 'RMSE': 0.0012358223603726483, 'MAPE': 28.514691574951236, 'Bias': -0.00029369811519559363, 'SelectionScore': 0.0033110483993276122}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0031\model-20260531-181258-99dfe0c9-train20260611-012938
32,0.0033743890037545884,COMPLETE,20.0,1.0,4,6,1200,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0032,"{'N_ESTIMATORS': 1200, 'MAX_DEPTH': 20, 'MIN_SAMPLES_LEAF': 4, 'MIN_SAMPLES_SPLIT': 6, 'MAX_FEATURES': 1.0, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.7780028036784215, 'MAE': 0.0007018563604409186, 'RMSE': 0.0012675059266908145, 'MAPE': 29.323477177687618, 'Bias': -0.0003178472956204249, 'SelectionScore': 0.0033743890037545884}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0032\model-20260531-181258-99dfe0c9-train20260611-013123
33,0.0033106436538663125,COMPLETE,20.0,0.5,5,5,800,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0033,"{'N_ESTIMATORS': 800, 'MAX_DEPTH': 20, 'MIN_SAMPLES_LEAF': 5, 'MIN_SAMPLES_SPLIT': 5, 'MAX_FEATURES': 0.5, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.7892325413401511, 'MAE': 0.0006669115378901434, 'RMSE': 0.001235031496619954, 'MAPE': 28.644405088489293, 'Bias': -0.0002896217527386238, 'SelectionScore': 0.0033106436538663125}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0033\model-20260531-181258-99dfe0c9-train20260611-013504
34,0.0033127043178269723,COMPLETE,20.0,0.35,3,2,1000,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0034,"{'N_ESTIMATORS': 1000, 'MAX_DEPTH': 20, 'MIN_SAMPLES_LEAF': 3, 'MIN_SAMPLES_SPLIT': 2, 'MAX_FEATURES': 0.35, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.789318980838997, 'MAE': 0.0006660915200887619, 'RMSE': 0.0012347782164121475, 'MAPE': 28.999655279052966, 'Bias': -0.00028077671116170146, 'SelectionScore': 0.0033127043178269723}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0034\model-20260531-181258-99dfe0c9-train20260611-013618
35,0.003665744528357369,COMPLETE,10.0,1.0,6,6,1000,64,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0035,"{'N_ESTIMATORS': 1000, 'MAX_DEPTH': 10, 'MIN_SAMPLES_LEAF': 6, 'MIN_SAMPLES_SPLIT': 6, 'MAX_FEATURES': 1.0, 'WAVEFORM_FEATURE_COUNT': 64}","{'Samples': 3420, 'R2': 0.7371675047472249, 'MAE': 0.000791300638238096, 'RMSE': 0.001379163589153084, 'MAPE': 33.82853882379259, 'Bias': -0.0003419487529179988, 'SelectionScore': 0.003665744528357369}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0035\model-20260531-181258-99dfe0c9-train20260611-013729
36,0.004167905111418143,COMPLETE,32.0,sqrt,3,3,800,384,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0036,"{'N_ESTIMATORS': 800, 'MAX_DEPTH': 32, 'MIN_SAMPLES_LEAF': 3, 'MIN_SAMPLES_SPLIT': 3, 'MAX_FEATURES': 'sqrt', 'WAVEFORM_FEATURE_COUNT': 384}","{'Samples': 3420, 'R2': 0.6594359020572995, 'MAE': 0.0009004000663853145, 'RMSE': 0.001569913360209909, 'MAPE': 46.87636347965905, 'Bias': -0.0002906579107145012, 'SelectionScore': 0.004167905111418143}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0036\model-20260531-181258-99dfe0c9-train20260611-013910
37,0.00355064984758963,COMPLETE,,0.5,4,9,900,384,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0037,"{'N_ESTIMATORS': 900, 'MAX_DEPTH': None, 'MIN_SAMPLES_LEAF': 4, 'MIN_SAMPLES_SPLIT': 9, 'MAX_FEATURES': 0.5, 'WAVEFORM_FEATURE_COUNT': 384}","{'Samples': 3420, 'R2': 0.7555792367201032, 'MAE': 0.0007478448910995595, 'RMSE': 0.0013299805871112688, 'MAPE': 32.342873327521765, 'Bias': -0.00031002733751299877, 'SelectionScore': 0.00355064984758963}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0037\model-20260531-181258-99dfe0c9-train20260611-013930
38,0.00404218151319301,COMPLETE,6.0,0.5,4,11,900,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0038,"{'N_ESTIMATORS': 900, 'MAX_DEPTH': 6, 'MIN_SAMPLES_LEAF': 4, 'MIN_SAMPLES_SPLIT': 11, 'MAX_FEATURES': 0.5, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.6856917636064508, 'MAE': 0.0008450520206594259, 'RMSE': 0.0015081833250690495, 'MAPE': 41.29266858077657, 'Bias': -0.0002442068910243756, 'SelectionScore': 0.00404218151319301}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0038\model-20260531-181258-99dfe0c9-train20260611-014157
39,0.0034221953584151125,COMPLETE,,0.35,5,9,1000,64,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0039,"{'N_ESTIMATORS': 1000, 'MAX_DEPTH': None, 'MIN_SAMPLES_LEAF': 5, 'MIN_SAMPLES_SPLIT': 9, 'MAX_FEATURES': 0.35, 'WAVEFORM_FEATURE_COUNT': 64}","{'Samples': 3420, 'R2': 0.7702064655256353, 'MAE': 0.0007363467826603722, 'RMSE': 0.0012895706981359864, 'MAPE': 31.514152353495167, 'Bias': -0.00034046936809892556, 'SelectionScore': 0.0034221953584151125}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0039\model-20260531-181258-99dfe0c9-train20260611-014231
