file_name,pga,scale_factor,effective_pga,rms,mean_abs,cav,arias_proxy,duration_5_95,zero_crossing_rate,dominant_freq,spectral_centroid,predominant_period
RSN164_IMPVALL.H_H-CPE237.txt,0.1571105,1.763231377720479,0.2770221633693533,0.0560590784933125,0.0453280421730934,0.9070141238836,0.0628838318332026,18.38,0.0885,1.3493253373313343,7.496072099372073,0.7411111111111112
RSN1121_KOBE_YAE000.txt,0.1576342,1.757783802586781,0.27708684349372514,0.0532186246876809,0.0426275227695202,0.8529767306181001,0.0566727624931013,16.75,0.03,0.9495252373813092,3.1663313885332087,1.053157894736842
RSN601_WHITTIER.A_A-BRL130.txt,0.1577709,1.756468367340154,0.2771195951367867,0.0246187736267329,0.015049246120914,0.30113541487949,0.0121277411378352,8.71,0.0955,1.7491254372813592,6.640979482951575,0.5717142857142857
RSN3649_SMART1.40_40M09NS.txt,0.1580199,1.762859984315912,0.278566958435602,0.025588366920588,0.0175092009791719,0.35035911159323,0.0131018380784695,12.63,0.025,0.8995502248875562,2.8284141278595643,1.1116666666666666
RSN243_MAMMOTH.AH_B-LUL090.txt,0.1585098,1.7576927685972115,0.2786115292117903,0.0257961827813213,0.0156695317406946,0.3135473301313,0.0133155153522076,6.9,0.076,2.098950524737631,10.49232832487844,0.4764285714285715
RSN4259_ANCONA.P_P-ANP000.txt,0.159285,1.7511971935965804,0.2789394449820313,0.0180354843802329,0.0112574167563235,0.225260909294034,0.0065088267235608,10.71,0.117,2.898550724637681,9.33391351656966,0.345
RSN10627_10370141_23780360.txt,0.15989138,1.7478122398498448,0.2794601110104827,0.0146435975638181,0.0065427705575172,0.130920838855921,0.0042908433417173,5.93,0.1145,5.44727636181909,7.880527186249344,0.1835779816513761
RSN4369_UBMARCHE.P_E-NCM000.txt,0.1612311,1.7379062616684902,0.28020453826569847,0.0184418412563002,0.0093036316656631,0.18616566962992,0.0068054311935407,4.92,0.1555,2.2488755622188905,11.129880307865724,0.4446666666666666
RSN6878_JOSHUA_5295180.txt,0.1613214,1.7388894199722809,0.28052007567511633,0.0327257009745619,0.0209232300639806,0.4186738335802529,0.0214301398005716,9.91,0.094,1.4492753623188406,7.469707049849898,0.69
RSN561_CHALFANT.B_C-ZAK270.txt,0.1622044,1.7374551713526427,0.2818228735961526,0.0187318506430915,0.0103908632895132,0.20792117442316,0.0070211533925869,7.49,0.1265,1.8490754622688648,9.216587456668496,0.5408108108108108
RSN20_NCALIF.FH_H-FRN044.txt,0.1625533,1.7368355409446625,0.28232834873784,0.0411360409807938,0.0291057632591799,0.58240632281619,0.0338603990901466,13.27,0.0255,0.7996001999000499,3.627589567418012,1.250625
RSN3649_SMART1.40_40M09EW.txt,0.1627139,1.73561821330348,0.2824092083976411,0.028869617345543,0.0180791925835512,0.36176464359686,0.0166774306616184,11.35,0.0225,0.7996001999000499,2.642647262594171,1.250625
RSN18444_21423530_36457360.txt,0.16335518,1.729796390685735,0.28257120076381853,0.0181246366119011,0.0070431983274226,0.1409343985317264,0.0065733340707925,2.91,0.135,4.697651174412793,8.705594554742083,0.2128723404255319
RSN18444_21423530_36457090.txt,0.16397821,1.7240164299117362,0.28270112818751697,0.0153011629028466,0.0061742246229397,0.123546234705025,0.0046848529794507,3.83,0.119,5.147426286856572,8.642889834867445,0.1942718446601941
RSN552_CHALFANT.A_A-SHE009.txt,0.1642825,1.7210750931611165,0.2827425189922411,0.0201346402469723,0.0118907557260829,0.23793402207892,0.0081121287948786,8.22,0.0955,3.698150924537731,6.98293930842539,0.2704054054054054
RSN314_WESMORL_BRA315.txt,0.1650554,1.716241732021206,0.28327496557545295,0.0245205088279798,0.015023892860824,0.30062809614509,0.0120311196171926,7.99,0.1245,6.896551724137931,9.592118932681728,0.145
RSN4345_UBMARCHE.P_A-AAL108.txt,0.1661331,1.7063540181308052,0.2834818827295269,0.0300340296570177,0.0158615380894452,0.3173893771698,0.0180498791781467,4.28,0.102,5.497251374312843,7.146572029603411,0.1819090909090909
RSN4546_L-AQUILA.B_EF101XTE.txt,0.1663217,1.7055527394285899,0.2836704310614201,0.0217405022002312,0.0097417959689615,0.19493333733892,0.0094577152127243,3.5500000000000003,0.1675,10.844577711144428,11.169330999846869,0.0922119815668202
RSN4416_UBMARCHE.P_S-NC2000.txt,0.1670982,1.6988998204284764,0.28388310197392164,0.0199057828428473,0.0083292967507084,0.1666692279816769,0.0079287662136377,2.92,0.2445,8.79560219890055,14.857470675804072,0.1136931818181818
RSN391_COALINGA_B-BNT270.txt,0.1673533,1.6969253346274358,0.2839860546035057,0.0220616217435025,0.0140562740201379,0.28126604314296,0.0097391702306071,12.58,0.0475,0.9995002498750624,4.335737931835657,1.0005
RSN164_IMPVALL.H_H-CPE147.txt,0.1682932,1.6901271328157923,0.2844369035883947,0.0569298224067813,0.0454483858184207,0.9094222002266,0.064852503632146,17.740000000000002,0.1065,2.2488755622188905,7.862810574431596,0.4446666666666666
RSN4037_BAM_ABAR-L.txt,0.1684608,1.6986088409755928,0.28614900423782114,0.0315817068872801,0.0227325331574857,0.45487798848129,0.0199580582403807,13.54,0.3355,16.091954022988507,17.07606300298293,0.0621428571428571
RSN6878_JOSHUA_5295090.txt,0.172316,1.6647016600176354,0.28685473124759886,0.0274574620846349,0.0181558330234882,0.3632982187999999,0.0150857836048246,9.83,0.0915,1.299350324837581,8.233069231576483,0.7696153846153847
RSN730_SPITAK_GUK090.txt,0.1741392,1.6476889582244971,0.2869272370340473,0.0311741540677084,0.0190561214471609,0.3813129901576899,0.0194462759155628,7.48,0.0725,2.3988005997001496,7.145073543041793,0.416875
RSN246_MAMMOTH.L_L-BEN360.txt,0.1746032,1.6436303144116122,0.2869831125132736,0.0218712660120149,0.0133880843309695,0.2678955674627,0.009571829062136,8.57,0.1105,1.5992003998001,7.384447059697665,0.6253125
RSN602_WHITTIER.A_A-BUE340.txt,0.1746498,1.645494895163305,0.2873853543412922,0.0353200419220271,0.0213550538847326,0.4273146282335,0.0249625822810888,8.91,0.0995,1.899050474762619,7.039611721449279,0.526578947368421
RSN421_TRINIDAD_RDE000.txt,0.1753719,1.6391347336191096,0.2874581725907771,0.0235177072702987,0.0143209360943928,0.2865619312488,0.0110671819305817,7.72,0.0945,2.7486256871564216,6.874073625657331,0.3638181818181818
RSN549_CHALFANT.A_A-LAD270.txt,0.1757792,1.6377048560624066,0.287874449434765,0.0346348288742682,0.021407100673914,0.42835608448502,0.0240034231367084,8.13,0.066,2.6986506746626686,5.560849941925326,0.3705555555555556
RSN315_WESMORL_NIL090.txt,0.1760304,1.6380951460667603,0.28835454380019027,0.023455017098677,0.0146933007071564,0.2940129471502,0.0110082579202556,9.82,0.1155,5.997001499250374,8.753722975950874,0.16675
RSN2752_CHICHI.04_CHY101E.txt,0.1767894,1.6322457668005446,0.2885637497652082,0.0349178803215635,0.0249223282586206,0.498695788455,0.0243973599066822,12.64,0.0855,0.5997001499250374,6.644641852972827,1.6675000000000002
RSN402_COALINGA_C-SKH270.txt,0.177014,1.6307091166985606,0.288658343583279,0.0180048549225076,0.0094271468153328,0.18863720777481,0.0064867377636187,5.95,0.104,2.048975512243878,8.810990482899168,0.4880487804878049
RSN419_COALINGA_F-CSU090.txt,0.177307,1.6304962431498204,0.2890983973841652,0.0182770566664773,0.0071699244899568,0.143470189044036,0.0066843565157963,3.47,0.0915,3.298350824587706,6.625384812662618,0.3031818181818182
RSN10627_10370141_23780090.txt,0.17791432,1.62600822624306,0.28929014788644014,0.017378264941068,0.0066974480858345,0.13401593619755,0.0060431018881626,3.14,0.0985,4.197901049475262,6.54432930290856,0.2382142857142857
RSN729_SUPER.B_B-IVW090.txt,0.1792464,1.6160909834877655,0.2896784908626414,0.0425614711114312,0.0315065004173673,0.6304450733515201,0.0362476912516155,19.0,0.0905,0.8995502248875562,8.83356529367092,1.1116666666666666
RSN397_COALINGA_C-CHP000.txt,0.1811203,1.6012546026802907,0.2900197140138351,0.0157550076939869,0.0076956252786491,0.1539894618257699,0.0049668875514261,7.11,0.0945,3.698150924537731,7.385207612933387,0.2704054054054054
RSN4546_L-AQUILA.B_EF101YLN.txt,0.1816342,1.598278383855632,0.2903020156289106,0.0227682717477962,0.0106759930300464,0.21362662053123,0.0103730679096137,3.21,0.1605,11.494252873563218,11.061015791769572,0.087
RSN3767_NORTH392_SYL090.txt,0.1817729,1.5975720900636838,0.290395311769937,0.0241443245745383,0.013495860235836,0.27005216331908,0.0116647976673047,7.2,0.1115,2.598700649675162,6.102206429022106,0.3848076923076923
RSN234_MAMMOTH.J_J-LUL000.txt,0.1833759,1.5838624971285515,0.2904422108871956,0.0171183062484803,0.0106376110463258,0.2128585970369799,0.0058636585404233,8.49,0.078,1.949025487256372,10.862031613168696,0.5130769230769231
RSN222_LIVERMOR_B-LMO265.txt,0.1837491,1.5840492931568144,0.2910676319732008,0.0247040982175236,0.0118172601171204,0.23646337494358,0.0122119522995085,4.15,0.0875,5.597201399300349,6.840435708329897,0.1786607142857143
RSN508_SMART1.40_40M07EW.txt,0.1840281,1.5852084487746558,0.29172289893194725,0.0344573320919203,0.0188398810697431,0.3769860202055599,0.0237580277752065,7.73,0.04,0.8495752123938031,3.5154876874483905,1.1770588235294115
RSN236_MAMMOTH.AH_A-CVK180.txt,0.1847698,1.579504935777292,0.2918448110825831,0.0333287464593861,0.0175094231204615,0.350363556640436,0.0222272148644863,4.7700000000000005,0.108,1.899050474762619,9.264281346075578,0.526578947368421
RSN562_CHALFANT.B_D-LAD180.txt,0.1869104,1.561600568664598,0.29187938692932747,0.0226629751307963,0.0119208458104532,0.23853612466717,0.0102773449399996,9.97,0.0565,2.448775612193903,4.846961747241492,0.4083673469387755
RSN4362_UBMARCHE.P_E-AAL108.txt,0.1870188,1.561671306271586,0.2920618936933445,0.0211564794645406,0.009076660113828,0.1816239688777,0.0089564084329039,3.35,0.101,4.0479760119940025,6.783429696294454,0.247037037037037
RSN6874_JOSHUA_5068135.txt,0.1875873,1.5596465928333687,0.292569893303811,0.0415821324229935,0.0281450044622438,0.5631815392895,0.0345987654742358,10.08,0.1515,4.847576211894053,9.841280420752776,0.2062886597938144
RSN9590_10410337_14847090.txt,0.18772971,1.5605593743035764,0.2929633587757918,0.0255065405985357,0.0110998942736154,0.2221088844150446,0.013018178102228,3.31,0.1315,5.497251374312843,8.087064746601689,0.1819090909090909
RSN4345_UBMARCHE.P_A-AAL018.txt,0.1880379,1.5589944600869687,0.2931500443863874,0.0275671436654746,0.0139288423616221,0.27871613565606,0.0152065476715571,4.12,0.095,2.948525737131434,6.059961793516021,0.3391525423728814
RSN8099_CCHURCH_KPOCN15E.txt,0.1886147,1.5547597152085315,0.2932505372561426,0.0405349017402205,0.0261583576288225,0.52342873615274,0.0328779959643776,8.59,0.085,1.3493253373313343,5.590173181017803,0.7411111111111112
RSN1135_KOZANI_C-KRP-EW.txt,0.1889045,1.5544684165420397,0.29364607899266576,0.0330545021470883,0.0184696776940557,0.369578250658056,0.0218629282449593,7.07,0.074,2.7986006996501747,5.647003122250797,0.3573214285714286
RSN9449_51161673_76741284.txt,0.18896045,1.5545302288533844,0.2937447315827385,0.0220710420525464,0.0095204786055332,0.19050477689672,0.0097474892546783,3.68,0.0895,6.346826586706646,7.72341308028142,0.1575590551181102
RSN720_SUPER.B_B-CAL225.txt,0.1895862,1.5499964046954844,0.29385792837987906,0.0334678438954875,0.0222877620860804,0.44597811934247,0.0224131324660046,12.59,0.0905,5.997001499250374,6.9956900400352415,0.16675
RSN4369_UBMARCHE.P_E-NCM270.txt,0.1901657,1.5475162074994064,0.29428450286046987,0.0202525796995007,0.0097338309424942,0.19477395715931,0.0082074413595374,4.95,0.1705,2.948525737131434,12.021531794807276,0.3391525423728814
