"Name","Version","Entry","SizeGB","SizeMB","LastWriteTime"
"Cython","3.0.7","8K3rgOfULytOdAd0SIJSo","0.0084","8.6","2026/1/30 11:49:45"
"networkx","3.6.1","8Ov4vUPkJqOterJaasJIP","0.0066","6.7","2026/2/2 19:21:26"
"tifffile","2026.2.24","8uAdUq5oAsLxO82Z-fXF1","0.001","1","2026/2/26 12:30:14"
"pyasn1","0.6.3","8WTL0onRWNadcQ1u1Oj0n","0.0004","0.4","2026/4/14 18:27:22"
"networkx","3.6.1","8wzAd4xqNRnphhopB4h_G","0.0066","6.7","2026/2/26 13:23:08"
"pydantic_core","2.41.5","8Y3gLtaNvMHheosKZnF_E","0.0053","5.4","2026/2/13 17:17:08"
"traitlets","5.14.3","901TQaAJDGx54XJE2Ydps","0.0003","0.3","2026/5/6 19:02:48"
"regex","2026.2.19","91ZLM_SsJKO4QRh_-vY4j","0.0011","1.1","2026/2/26 12:28:04"
"julius","0.2.7","936Zp9mjx0tM2OgobF1ja","0.0001","0.1","2026/1/30 11:49:36"
"idna","3.15","9aQdRUbF5xXuOJA3wqAn4","0.0003","0.3","2026/5/19 20:02:04"
"av","16.1.0","9CpyaBOigeWUPHvkkiX5A","0.0751","76.9","2026/2/2 19:21:55"
"protobuf","4.25.0","9gDyEhO-0_mFE5Pq5yUgF","0.0014","1.4","2026/5/20 14:00:22"
"tomlkit","0.13.3","9IPAlttTk4kpkrjO3csGT","0.0002","0.2","2026/5/6 19:26:59"
"pooch","1.8.2","9Iq9Qn8--w5yzv1odoS-x","0.0003","0.3","2026/5/6 19:02:51"
"chardet","5.2.0","9KcFlZQ6ORkbQBbg7eopL","0.0011","1.1","2026/2/2 19:21:21"
"zipp","4.1.0","9KHwP0_TXPnBuwBMKugxv","0","0","2026/5/20 14:00:23"
"charset-normalizer","3.4.7","9OpWa-Vk7hzlwoaAyidSK","0.0004","0.4","2026/4/14 18:27:22"
"py-cpuinfo","9.0.0","9PjZJ1KU0ykR8ZRzhODT8","0.0001","0.1","2026/1/30 11:49:40"
